Age (ka),Insolation (W/m^2)
757,482.3768789
758,479.1178434
759,476.9418299
760,476.0945802
761,476.7395306
762,478.8626771
763,482.2932979
764,486.6026624
765,491.2262999
766,495.4335516
767,498.558816
768,500.0951806
769,499.8275008
770,497.8385371
771,494.4945689
772,490.2523869
773,485.6616215
774,481.1595849
775,477.2097733
776,474.1507719
777,472.3359034
778,472.0647068
779,473.5412194
780,476.912258
781,482.1055897
782,488.865046
783,496.6356836
784,504.5909938
785,511.8293591
786,517.439434
787,520.7394837
788,521.4768073
789,519.7458695
790,515.9767046
791,510.7644442
792,504.7389072
793,498.4325613
794,492.3635143
795,486.9070536
796,482.4372815
797,479.2412374
798,477.5369848
799,477.4838608
800,479.027007
801,481.9592695
802,485.8669031
803,490.1175645
804,494.0091753
805,496.894601
806,498.3080558
807,498.0798526
808,496.3465582
809,493.4615411
810,489.8833771
811,486.1405927
812,482.6774368
813,479.8800425
814,478.1100389
815,477.6258929
816,478.5867404
817,481.0622643
818,484.9794051
819,490.0511565
820,495.7990474
821,501.5715933
822,506.6727475
823,510.4122269
824,512.2922222
825,512.1413333
826,510.0317345
827,506.2942628
828,501.4224618
829,495.8996612
830,490.2115172
831,484.8037694
832,480.0867439
833,476.461545
834,474.2826458
835,473.8631619
836,475.4201492
837,479.0548042
838,484.5326058
839,491.4043313
840,498.8325335
841,505.7643194
842,511.1020262
843,513.9716851
844,513.9342878
845,511.0580427
846,505.9137594
847,499.1930679
848,491.6879838
849,484.026749
850,476.7480163
851,470.2348913
852,464.8785991
853,461.0168239
854,459.0768235
855,459.4457933
856,462.4704763
857,468.3743071
858,477.0793822
859,488.1486934
860,500.5982637
861,512.9929267
862,523.6897709
863,531.1373479
864,534.4321065
865,533.4803689
866,528.9076588
867,521.7363605
868,513.0550073
869,503.8005402
870,494.6067596
871,485.9223142
872,478.0894055
873,471.4342638
874,466.2611572
875,462.964764
876,461.9324436
877,463.4599049
878,467.6984044
879,474.4594254
880,483.2162809
881,492.9699773
882,502.3531473
883,509.9758162
884,514.6796012
885,515.8830705
886,513.7191351
887,508.8417727
888,502.2092858
889,494.7539916
890,487.2687071
891,480.3318647
892,474.3659353
893,469.6796978
894,466.4874212
895,464.9717794
896,465.2287267
897,467.228682
898,470.835938
899,475.7739495
900,481.6341081
901,487.9065758
902,494.0562605
903,499.6169389
904,504.2605358
905,507.8560645
906,510.4053682
907,512.0312161
908,512.9858745
909,513.4437823
910,513.6252342
911,513.6437541
912,513.5368125
913,513.2596551
914,512.6438248
915,511.5275698
916,509.6937849
917,506.9628254
918,503.2655133
919,498.6129733
920,493.1803639
921,487.2068956
922,480.9838097
923,474.9190463
924,469.3793313
925,464.7879824
926,461.5611643
927,460.1322995
928,460.9087377
929,464.1728796
930,470.0607949
931,478.3045469
932,488.2949774
933,498.873501
934,508.5943768
935,515.882115
936,519.625349
937,519.3870083
938,515.5429073
939,508.9714721
940,500.7676978
941,491.8990282
942,483.0649155
943,474.7199432
944,467.1935093
945,460.7759589
946,455.8513181
947,452.8830739
948,452.4542252
949,455.1917464
950,461.6497353
951,472.1323574
952,486.4491959
953,503.6582466
954,521.8506887
955,538.4351961
956,550.5870304
957,556.2921715
958,555.0101138
959,547.7408231
960,536.3872548
961,522.8809815
962,508.7818397
963,495.0216629
964,482.0728575
965,470.1814618
966,459.5325999
967,450.4032674
968,443.2277477
969,438.5994254
970,437.1968785
971,439.6701263
972,446.5399397
973,457.8655418
974,473.0317925
975,490.5419172
976,507.9627947
977,522.4698454
978,531.5890799
979,534.2756455
980,531.0363647
981,523.4834123
982,513.6005254
983,502.9510302
984,492.5984155
985,483.1338209
986,474.8321448
987,467.8317148
988,462.3093675
989,458.5210472
990,456.7804966
991,457.455291
992,460.8360399
993,467.0904953
994,476.0286977
995,487.1300874
996,499.3985907
997,511.4348482
998,521.7664424
999,529.0861418
1000,532.6141009
1001,532.3012068
1002,528.6449914
1003,522.5283602
1004,514.8916976
1005,506.5804529
1006,498.2681943
1007,490.4172904
1008,483.3897287
1009,477.4217825
1010,472.6488018
1011,469.1733083
1012,467.0019516
1013,466.1013674
1014,466.3430277
1015,467.5732233
1016,469.5863352
1017,472.2034446
1018,475.2441737
1019,478.620299
1020,482.2925912
1021,486.2557596
1022,490.5710785
1023,495.2253459
1024,500.2064956
1025,505.3533884
1026,510.4191404
1027,515.057491
1028,518.8094006
1029,521.1900213
1030,521.8594326
1031,520.5887494
1032,517.3812147
1033,512.4687851
1034,506.2008956
1035,499.0310558
